index,sentence,year,label,orig_index,label_name,word_count,char_count,llm_label_str,llm_label
677,"Participants expected that productivity growth would pick up as firms slowed hiring to a pace more in line with output growth but acknowledged that the improvement might be limited, particularly if business investment spending were to remain soft.",2008,2,642,Neutral,38,247,NEUTRAL,2
273,"For example, Ang, Piazzesi, and Wei (2003) have used modern financial theory to construct a model of the Treasury yield curve that closely links the behavior of real GDP and a few key interest rates.",2004,2,268,Neutral,35,199,NEUTRAL,2
391,"In December 1996, before my time at the Board, John Campbell of Harvard and Robert Shiller of Yale made a presentation at the Fed, in which they used dividend-price ratios and related measures to argue that the stock market was overvalued.",2020,2,379,Neutral,41,239,NEUTRAL,2
119,"August 26, 2022 Monetary Policy and Price Stability Chair Jerome H. Powell At â€œReassessing Constraints on the Economy and Policy,â€ an economic policy symposium sponsored by the Federal Reserve Bank of Kansas City, Jackson Hole, Wyoming Share Watch Live Thank you for the opportunity to speak here today.",2022,2,118,Neutral,48,306,NEUTRAL,2
698,"Participants' Views on Current Conditions and the Economic Outlook In conjunction with this FOMC meeting, participants submitted their projections of the most likely outcomes for real GDP growth, the unemployment rate, and inflation for each year from 2022 through 2024 and over the longer run based on their individual assessments of appropriate monetary policy, including the path of the federal funds rate.",2012,2,663,Neutral,62,409,NEUTRAL,2
508,"It is an honor to be here with Ben Bernanke and Janet Yellen, who pioneered the original Statement on Longer-Run Goals and Monetary Policy Strategy in 2012.",2020,2,491,Neutral,27,156,NEUTRAL,2
981,What implications do these results have for our broader understanding and for the practice of monetary policy?,2022,2,952,Neutral,17,110,NEUTRAL,2
292,"For example, wages and prices that are set for some period in the future will of necessity embody the inflation expectations of the parties to the negotiation",2004,2,285,Neutral,27,158,NEUTRAL,2
982,"The staff forecast prepared for this meeting continued to suggest that the expansion would gradually moderate from its currently elevated pace to a rate around, or perhaps a little below, the growth of the economy's estimated potential.",2019,2,926,Neutral,37,236,NEUTRAL,2
629,"another is the growing literature on the interaction of learning, inflation dynamics, and monetary policy.",2001,2,609,Neutral,15,106,NEUTRAL,2
630,"On balance, however, the members generally believed that prospective trends in overall economic activity and the persistence of strong competitive pressures in most markets, including the effects of foreign competition, were likely in the context of now firmly embedded expectations of low inflation to moderate any tendency for price inflation to accelerate over the year ahead.",2005,2,597,Neutral,56,379,DOVISH,0
242,"Fast growth of productivity, by buoying expectations of future advances of wages and earnings and thus aggregate demand, enables real interest rates to be higher than would otherwise be the case without restricting economic growth.",2006,1,238,Hawkish,35,231,HAWKISH,1
39,"And then we’ll look to have that just running in the background and have—and have the interest rates, again, be the active tool of monetary policy.",2022,2,39,Neutral,26,147,NEUTRAL,2
308,"What monetary policy affects, primarily, is the state of the business cycle, the amount of excess unemployment or the extent of recession in the economy.",2017,2,301,Neutral,25,153,NEUTRAL,2
832,"Taken together, these actions should maintain downward pressure on longer-term interest rates, support mortgage markets, and help to make broader financial conditions more accommodative.",2000,0,783,Dovish,24,186,DOVISH,0
80,Another factor that has contributed to the swing toward current-account surplus among the non-industrialized nations in the past few years is the sharp rise in oil prices.,2006,1,79,Hawkish,27,171,NEUTRAL,2
854,"There was also a sharp acceleration in productivity over 1997, which held down unit labor costs.",2008,0,828,Dovish,16,96,NEUTRAL,2
837,"The Committee also noted in March that although output had continued to expand at a solid pace, new hiring had lagged, and increases in core consumer prices were muted and expected to remain low.",2016,0,788,Dovish,34,195,DOVISH,0
260,The unemployment rate was 3.5 percent in February and has been at or near half-century lows for almost two years.,2015,2,255,Neutral,20,113,NEUTRAL,2
437,"Industrial production had slipped in recent months and private payroll employment had changed little,",2014,2,419,Neutral,14,101,DOVISH,0
996,"While moderating the pace of purchases and the eventual increase in the federal funds rate may well affect capital flows, interest rates and asset prices in EMEs, the overall macroeconomic effects need not be disruptive.",2019,1,967,Hawkish,35,220,HAWKISH,1
157,"It was a question of not getting inflation up to our target on a robust, symmetric kind of a way.",2021,0,152,Dovish,20,97,DOVISH,0
1100,"With appropriate firming in the stance of monetary policy, participants expected inflation to return to the Committee's 2 percent objective over time and the labor market to remain strong.",2020,1,1040,Hawkish,29,188,HAWKISH,1
724,"still outpace that of potential over this period, leading to a decline in the unemployment rate to historically low levels, as monetary policy was assumed to remain highly accommodative.",2008,0,686,Dovish,29,186,DOVISH,0
231,Estimates by the staff of the Federal Reserve indicate that about 40 percent of the growth in outstanding home mortgage debt during the past five years originated as financing the extraction of home equity.,1997,1,227,Hawkish,34,206,NEUTRAL,2
76,"An environment involving such interest rates could have adverse repercussions on the functioning of some sectors of the money market, but the members agreed that the potential extent of such disruptions would not be sufficient to prevent the Committee from taking advantage of the full scope of conventional easing of the federal funds rate, should that become necessary.",2002,0,76,Dovish,58,371,DOVISH,0
805,"The net effect could be steady, rising, or falling inflation--depending on whether productivity continues to accelerate and on how low the unemployment rate is driven in the process.",2005,2,782,Neutral,28,182,NEUTRAL,2
199,Factors pointing to potentially higher inflation included increased pressures on food prices stemming from disappointing harvests in some areas and relatively low grain supplies.,2014,1,190,Hawkish,24,178,HAWKISH,1
698,"Some also argue that resistance to nominal wage cuts will impart an upward bias to real wages as price stability approaches or outright deflation occurs, leaving the economy with a potentially higher level of unemployment in equilibrium.",2022,0,677,Dovish,37,237,NEUTRAL,2
969,The slowdown would reflect factors that were expected to damp the growth of overall business investment spending and a greater saturation of potential computer markets that might lead to more emphasis on replacement demand rather than the further expansion of capacity.,2000,0,915,Dovish,41,269,DOVISH,0
1072,"Two noted the possibility that sustained high levels of long-term unemployment could result in higher structural unemployment, an outcome that might be forestalled by increased aggregate demand.",2015,0,1012,Dovish,27,194,DOVISH,0
696,"So, what are the implications for monetary policy?",2022,2,675,Neutral,8,50,NEUTRAL,2
863,"These concerns were centered around the fact that corporate borrowers could no longer raise funds in the bond or commercial paper markets at reasonable prices or, at some times and for some borrowers, at all.",2003,2,836,Neutral,35,208,NEUTRAL,2
942,"The pace of inventory liquidation was thought likely to moderate in coming quarters and subsequently turn to accumulation as inventories came into better balance with sales, with increasingly positive implications for overall production and economic activity.",2013,1,890,Hawkish,36,259,NEUTRAL,2
521,"January 13, 2021 Full Employment in the New Monetary Policy Framework Governor Lael Brainard At the Inaugural Mike McCracken Lecture on Full Employment Sponsored by the Canadian Association for Business Economics (via webcast) Share I want to thank the Canadian Association for Business Economics for inviting me to join you today, particularly president Bonnie Lemcke and past president Armine Yalnizyan.",2004,2,504,Neutral,60,405,NEUTRAL,2
466,In this case headline inflation will rise well above its underlying trend as the price of energy rises,2020,1,451,Hawkish,18,102,HAWKISH,1
209,"For 2000, the Committee agreed on a tentative basis in June to retain the same ranges for growth of the monetary aggregates and debt, measured from the fourth quarter of 1999 to the fourth quarter of 2000.",2007,2,200,Neutral,37,205,NEUTRAL,2
164,"I’m more concerned about that than about the possibility, which exists, of higher inflation.",2020,2,159,Neutral,14,92,DOVISH,0
977,What I do want to share with you is how the equity market fits into my thinking about monetary policy.,2000,2,948,Neutral,20,102,NEUTRAL,2
372,"In the end, they concurred that the statement should note that economic growth had rebounded in the current quarter but that it appeared likely to moderate to a more sustainable pace in coming quarters.",2010,2,357,Neutral,34,202,NEUTRAL,2
515,It is worth noting that today the economy is very strong and is well positioned to handle tighter monetary policy.,2000,1,498,Hawkish,20,114,HAWKISH,1
